Map,Agents,Lambda,Algorithm,Samples,AvgServiceTime,AvgServiceTime_std,AvgPathLength,AvgPathLength_std,PeakMemory_MB,PeakMemory_MB_std,NPC,NPC_std,NPC_min,NPC_max,PerStepTime,PerStepTime_std
empty,10,0.5,LNS-MAPD,19,427.71,19.2,36.83,0.29,13.9,0.3,1.0323,0.0445,1.0,1.5,0.4306,0.032
empty,10,0.5,PIBT,9,442.96,19.56,36.73,0.15,26.1,0.0,1.0018,0.0162,1.0,2.0,0.008,0.0024
empty,10,0.5,PIBT-NoDist,4,423.07,4.92,37.01,0.12,233.2,0.3,1.0013,0.0121,1.0,1.5,0.4307,0.0405
empty,10,0.5,RCMA,20,416.71,15.41,41.03,0.25,1556.3,1.6,1.0002,0.0112,1.0,2.0,2.1139,0.4344
empty,10,0.5,TP,20,469.16,21.43,36.78,0.18,219.0,4.8,1.068,0.3897,1.0,13.0,0.2481,0.0235
empty,20,0.5,LNS-MAPD,20,86.19,16.38,38.03,0.4,14.8,0.3,1.0316,0.0503,1.0,1.5,0.5917,0.0568
empty,20,0.5,PIBT,11,82.12,11.87,43.12,1.53,26.3,0.1,1.0045,0.0349,1.0,3.25,0.0136,0.0031
empty,20,0.5,PIBT-NoDist,12,139.92,120.87,41.06,2.38,194.8,37.1,1.0023,0.0161,1.0,1.4737,1.0029,0.0756
empty,20,0.5,RCMA,20,86.11,10.25,44.45,0.58,1548.6,1.8,1.0002,0.0046,1.0,1.2,2.4135,0.2055
empty,20,0.5,TP,20,107.3,13.12,40.59,0.81,128.9,15.1,1.1695,0.6649,1.0,19.5,0.6924,0.1602
empty,30,0.5,LNS-MAPD,20,38.51,0.65,37.42,0.44,15.0,0.4,1.0391,0.0543,1.0,1.5,0.71,0.1176
empty,30,0.5,PIBT,11,46.41,0.97,57.77,1.07,26.4,0.2,1.0032,0.0241,1.0,2.0208,0.0163,0.004
empty,30,0.5,PIBT-NoDist,14,44.8,0.62,60.18,0.78,155.7,2.8,1.0046,0.0368,1.0,2.5,0.7414,0.1419
empty,30,0.5,RCMA,20,42.07,0.91,53.45,0.92,1550.7,1.8,1.0006,0.0074,1.0,1.6667,3.1824,0.1545
empty,30,0.5,TP,20,65.94,2.24,52.57,1.46,116.4,17.3,1.2733,0.853,1.0,15.0,2.0845,0.5237
empty,40,0.5,LNS-MAPD,20,37.58,0.28,37.38,0.26,15.2,0.4,1.0454,0.0534,1.0,1.5,0.6984,0.0793
empty,40,0.5,PIBT,9,41.38,0.36,76.92,3.86,26.9,0.2,1.0041,0.0323,1.0,2.0,0.0209,0.0065
empty,40,0.5,PIBT-NoDist,11,43.35,5.79,73.89,10.69,159.0,13.0,1.0044,0.0325,1.0,2.0,0.5838,0.1844
empty,40,0.5,RCMA,20,38.32,0.49,57.35,0.83,1554.3,2.7,1.0009,0.0098,1.0,1.6667,4.2973,0.2058
empty,40,0.5,TP,20,66.93,0.71,60.14,0.77,124.9,11.1,1.3392,0.9741,1.0,14.4,3.0983,0.5645
empty,50,0.5,LNS-MAPD,20,37.08,0.19,37.38,0.17,15.2,0.4,1.047,0.0522,1.0,1.5,0.6371,0.0745
empty,50,0.5,PIBT,9,39.74,0.26,94.34,6.02,27.3,0.2,1.0053,0.045,1.0,2.0,0.0254,0.0056
empty,50,0.5,PIBT-NoDist,5,39.55,0.33,94.92,0.82,169.4,1.7,1.0037,0.0301,1.0,2.0,0.6224,0.0959
empty,50,0.5,RCMA,20,36.77,0.32,59.21,0.65,1558.5,3.2,1.0013,0.0117,1.0,1.6667,5.4734,0.2688
empty,50,0.5,TP,20,68.32,1.12,62.07,0.55,141.4,17.6,1.3697,1.0511,1.0,16.0,4.2496,1.2422
empty,10,1.0,LNS-MAPD,20,576.96,15.01,36.13,0.23,15.0,0.4,1.0366,0.0553,1.0,4.95,0.9519,0.1639
empty,10,1.0,PIBT,10,653.01,9.59,36.15,0.16,26.1,0.1,1.0017,0.016,1.0,1.7778,0.0102,0.0027
empty,10,1.0,PIBT-NoDist,4,637.73,4.94,35.96,0.15,260.3,1.1,1.0015,0.0125,1.0,1.2632,0.4741,0.0283
empty,10,1.0,RCMA,20,585.82,7.55,40.44,0.22,1559.4,1.5,1.0,0.0032,1.0,1.0833,3.2349,0.4709
empty,10,1.0,TP,20,696.56,16.56,36.34,0.17,264.8,6.7,1.0835,0.4839,1.0,17.0,0.3118,0.0372
empty,20,1.0,LNS-MAPD,20,225.42,9.71,36.94,0.3,14.4,0.4,1.0412,0.0498,1.0,1.5,0.7425,0.1216
